repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,status,start_date,join_date,liveness,unique-contributors,new-commits-last-30d,min-go-version,category,subcategory
hwameistor/hwameistor,455,7,0,0,0,15.385,14,0,647,37,Go,false,44,Sandbox,2023-06-22,2023-06-22,64.000,9,67,1.18,Runtime,Cloud Native Storage
k8up-io/k8up,486,15,3,1,0,30.864,3,3,1792,38,Go,false,18,Sandbox,2021-11-16,2021-11-16,48.000,2,10,1.19,Runtime,Cloud Native Storage
longhorn/longhorn,5192,69,27,15,4,13.290,0,0,2435,99,Shell,false,0,Incubating,2019-10-11,2019-10-11,100.000,12,41,,Runtime,Cloud Native Storage
openebs/openebs,8428,51,21,9,1,6.051,0,40,2691,205,unknown,false,0,Sandbox,2019-05-14,2019-05-14,46.000,0,0,,Runtime,Cloud Native Storage
oras-project/oras,1129,24,12,9,0,21.258,1,3,1816,58,Go,false,12,Sandbox,2021-07-13,2021-07-13,57.000,3,7,1.21,Runtime,Cloud Native Storage
piraeusdatastore/piraeus-operator,313,8,3,3,1,25.559,0,1,1603,17,Go,false,19,Sandbox,2021-01-26,2021-01-26,72.000,2,26,1.21,Runtime,Cloud Native Storage
rook/rook,11599,62,29,12,0,5.345,1,0,2715,485,Go,false,37,Graduated,2018-01-29,2018-01-29,90.000,23,148,1.20,Runtime,Cloud Native Storage
v6d-io/v6d,778,15,10,4,0,19.280,2,1,1147,46,C++,false,0,Sandbox,2021-04-28,2021-04-28,71.000,4,25,,Runtime,Cloud Native Storage
containerd/containerd,15277,189,100,42,8,12.372,0,0,2954,561,Go,false,75,Graduated,2017-03-29,2017-03-29,100.000,26,138,1.20,Runtime,Container Runtime
service-mesh-performance/service-mesh-performance,264,3,1,1,0,11.364,4,81,1776,87,Makefile,false,2,Sandbox,2021-06-22,2021-06-22,12.000,0,0,1.14,Orchestration & Management,Service Mesh
inclavare-containers/inclavare-containers,562,7,3,1,0,12.456,3,240,1311,26,C,false,0,Sandbox,2021-09-14,2021-09-14,12.000,0,0,,Runtime,Container Runtime
krustlet/krustlet,3513,10,3,2,0,2.847,2,73,1466,45,Rust,false,14,Sandbox,2021-07-13,2021-07-13,12.000,0,0,,Runtime,Container Runtime
lima-vm/lima,13140,221,109,43,11,16.819,0,0,944,96,Go,false,47,Sandbox,2022-09-14,2022-09-14,100.000,10,80,1.20,Runtime,Container Runtime
rkt/rkt,8832,3,2,2,0,0.340,2,1389,3320,215,Go,true,0,Archived,2017-03-29,2017-03-29,0.000,0,0,,Runtime,Container Runtime
virtual-kubelet/virtual-kubelet,3966,33,15,10,3,8.321,0,80,2201,130,Go,false,30,Sandbox,2018-12-04,2018-12-04,35.000,0,0,1.20,Runtime,Container Runtime
WasmEdge/WasmEdge,7256,284,93,41,6,39.140,0,0,1476,154,C++,false,0,Sandbox,2021-04-28,2021-04-28,100.000,10,51,,Runtime,Container Runtime
antrea-io/antrea,1557,12,8,1,0,7.707,3,0,1512,113,Go,false,79,Sandbox,2021-04-28,2021-04-28,81.000,18,60,1.21.0,Runtime,Cloud Native Network
cilium/cilium,17321,364,177,64,8,21.015,0,0,2920,683,Go,false,118,Graduated,2021-10-13,2021-10-13,100.000,66,529,1.21.0,Runtime,Cloud Native Network
cni-genie/CNI-Genie,522,2,0,0,0,3.831,14,21,2455,21,Go,false,0,Sandbox,2020-06-25,2020-06-25,14.000,1,1,,Runtime,Cloud Native Network
